  0.00000000E+00 -0.10128065E+02
  0.18205353E-01 -0.10126496E+02
  0.36410707E-01 -0.10123010E+02
  0.54616060E-01 -0.10117696E+02
  0.72821414E-01 -0.10110607E+02
  0.91026767E-01 -0.10101753E+02
  0.10923212E+00 -0.10091092E+02
  0.12743747E+00 -0.10078538E+02
  0.14564283E+00 -0.10063971E+02
  0.16384818E+00 -0.10047259E+02
  0.18205353E+00 -0.10028288E+02
  0.20025889E+00 -0.10006984E+02
  0.21846424E+00 -0.99833404E+01
  0.23666959E+00 -0.99574255E+01
  0.25487495E+00 -0.99293756E+01
  0.27308030E+00 -0.98993709E+01
  0.29128566E+00 -0.98675970E+01
  0.30949101E+00 -0.98342014E+01
  0.32769636E+00 -0.97992558E+01
  0.34590172E+00 -0.97627354E+01
  0.36410707E+00 -0.97245205E+01
  0.38231242E+00 -0.96844246E+01
  0.40051778E+00 -0.96422396E+01
  0.41872313E+00 -0.95977894E+01
  0.43692848E+00 -0.95509772E+01
  0.45513384E+00 -0.95018122E+01
  0.47333919E+00 -0.94504087E+01
  0.49154454E+00 -0.93969584E+01
  0.50974990E+00 -0.93416809E+01
  0.52795525E+00 -0.92847699E+01
  0.54616060E+00 -0.92263471E+01
  0.56436596E+00 -0.91664378E+01
  0.58257131E+00 -0.91049745E+01
  0.60077666E+00 -0.90418249E+01
  0.61898202E+00 -0.89768374E+01
  0.63718737E+00 -0.89098874E+01
  0.65539272E+00 -0.88409127E+01
  0.67359808E+00 -0.87699272E+01
  0.69180343E+00 -0.86970101E+01
  0.71000878E+00 -0.86222756E+01
  0.72821414E+00 -0.85458345E+01
  0.74641949E+00 -0.84677600E+01
  0.76462484E+00 -0.83880688E+01
  0.78283020E+00 -0.83067226E+01
  0.80103555E+00 -0.82236494E+01
  0.81924091E+00 -0.81387763E+01
  0.83744626E+00 -0.80520625E+01
  0.85565161E+00 -0.79635228E+01
  0.87385697E+00 -0.78732335E+01
  0.89206232E+00 -0.77813210E+01
  0.91026767E+00 -0.76879371E+01
  0.92847303E+00 -0.75932298E+01
  0.94667838E+00 -0.74973204E+01
  0.96488373E+00 -0.74002926E+01
  0.98308909E+00 -0.73021977E+01
  0.10012944E+01 -0.72030720E+01
  0.10194998E+01 -0.71029599E+01
  0.10377051E+01 -0.70019350E+01
  0.10559105E+01 -0.69001112E+01
  0.10741159E+01 -0.67976428E+01
  0.10923212E+01 -0.66947134E+01
  0.11105266E+01 -0.65915212E+01
  0.11287319E+01 -0.64882667E+01
  0.11469373E+01 -0.63851496E+01
  0.11651426E+01 -0.62823774E+01
  0.11833480E+01 -0.61801859E+01
  0.12015533E+01 -0.60788648E+01
  0.12197587E+01 -0.59787817E+01
  0.12379640E+01 -0.58803994E+01
  0.12561694E+01 -0.57842806E+01
  0.12743747E+01 -0.56910818E+01
  0.12925801E+01 -0.56015392E+01
  0.13107854E+01 -0.55164521E+01
  0.13289908E+01 -0.54366692E+01
  0.13471962E+01 -0.53630781E+01
  0.13654015E+01 -0.52965977E+01
  0.13836069E+01 -0.52381662E+01
  0.14018122E+01 -0.51887183E+01
  0.14200176E+01 -0.51491455E+01
  0.14382229E+01 -0.51202394E+01
  0.14564283E+01 -0.51026263E+01
  0.14746336E+01 -0.50967065E+01
  0.14927481E+01 -0.50956598E+01
  0.15108625E+01 -0.50924855E+01
  0.15289770E+01 -0.50871858E+01
